,净值日期,累计净值
0,2015-01-30,1.0
1,2015-02-06,0.993
2,2015-02-13,1.015
3,2015-02-17,1.019
4,2015-02-27,1.019
5,2015-03-06,1.036
6,2015-03-12,1.05
7,2015-03-13,1.06
8,2015-03-16,1.078
9,2015-03-17,1.077
10,2015-03-18,1.089
11,2015-03-19,1.091
12,2015-03-20,1.101
13,2015-03-23,1.127
14,2015-03-24,1.147
15,2015-03-25,1.151
16,2015-03-26,1.129
17,2015-03-27,1.14
18,2015-03-30,1.145
19,2015-03-31,1.154
20,2015-04-01,1.183
21,2015-04-02,1.209
22,2015-04-03,1.228
23,2015-04-07,1.237
24,2015-04-08,1.256
25,2015-04-09,1.244
26,2015-04-10,1.283
27,2015-04-13,1.32
28,2015-04-14,1.314
29,2015-04-15,1.265
30,2015-04-16,1.293
31,2015-04-17,1.287
32,2015-04-20,1.239
33,2015-04-21,1.282
34,2015-04-22,1.328
35,2015-04-23,1.347
36,2015-04-24,1.349
37,2015-04-27,1.369
38,2015-04-28,1.336
39,2015-04-29,1.364
40,2015-04-30,1.384
41,2015-05-04,1.387
42,2015-05-05,1.35
43,2015-05-06,1.354
44,2015-05-07,1.357
45,2015-05-08,1.401
46,2015-05-11,1.468
47,2015-05-12,1.505
48,2015-05-13,1.533
49,2015-05-14,1.541
50,2015-05-15,1.532
51,2015-05-18,1.585
52,2015-05-19,1.62
53,2015-05-20,1.657
54,2015-05-21,1.718
55,2015-05-22,1.727
56,2015-05-25,1.74
57,2015-05-26,1.78
58,2015-05-27,1.795
59,2015-05-28,1.691
60,2015-05-29,1.708
61,2015-06-01,1.791
62,2015-06-02,1.858
63,2015-06-03,1.852
64,2015-06-04,1.838
65,2015-06-05,1.839
66,2015-06-08,1.79
67,2015-06-09,1.772
68,2015-06-10,1.841
69,2015-06-11,1.88
70,2015-06-12,1.894
71,2015-06-15,1.851
72,2015-06-16,1.777
73,2015-06-17,1.768
74,2015-06-18,1.717
75,2015-06-19,1.625
76,2015-06-23,1.614
77,2015-06-24,1.642
78,2015-06-25,1.573
79,2015-06-26,1.446
80,2015-06-29,1.322
81,2015-06-30,1.374
82,2015-07-01,1.284
83,2015-07-02,1.195
84,2015-07-03,1.128
85,2015-07-06,1.091
86,2015-07-07,1.003
87,2015-07-08,0.958
88,2015-07-09,0.993
89,2015-07-10,1.039
90,2015-07-13,1.09
91,2015-07-14,1.12
92,2015-07-15,1.071
93,2015-07-16,1.088
94,2015-07-17,1.14
95,2015-07-20,1.159
96,2015-07-21,1.185
97,2015-07-22,1.196
98,2015-07-23,1.223
99,2015-07-24,1.211
100,2015-07-27,1.124
101,2015-07-28,1.089
102,2015-07-29,1.14
103,2015-07-30,1.096
104,2015-07-31,1.081
105,2015-08-03,1.04
106,2015-08-04,1.098
107,2015-08-05,1.083
108,2015-08-06,1.071
109,2015-08-07,1.105
110,2015-08-10,1.16
111,2015-08-11,1.163
112,2015-08-12,1.135
113,2015-08-13,1.165
114,2015-08-14,1.165
115,2015-08-17,1.188
116,2015-08-18,1.106
117,2015-08-19,1.131
118,2015-08-20,1.091
119,2015-08-21,1.035
120,2015-08-24,0.956
121,2015-08-25,0.895
122,2015-08-26,0.896
123,2015-08-27,0.932
124,2015-08-28,0.985
125,2015-08-31,0.944
126,2015-09-01,0.894
127,2015-09-02,0.875
128,2015-09-07,0.892
129,2015-09-08,0.92
130,2015-09-09,0.945
131,2015-09-10,0.936
132,2015-09-11,0.941
133,2015-09-14,0.883
134,2015-09-15,0.863
135,2015-09-16,0.922
136,2015-09-17,0.906
137,2015-09-18,0.913
138,2015-09-21,0.952
139,2015-09-22,0.961
140,2015-09-23,0.947
141,2015-09-24,0.957
142,2015-09-25,0.925
143,2015-09-28,0.965
144,2015-09-29,0.955
145,2015-09-30,0.948
146,2015-10-08,0.978
147,2015-10-09,0.999
148,2015-10-12,1.026
149,2015-10-13,1.043
150,2015-10-14,1.023
151,2015-10-15,1.059
152,2015-10-16,1.062
153,2015-10-19,1.056
154,2015-10-20,1.074
155,2015-10-21,1.024
156,2015-10-22,1.066
157,2015-10-23,1.108
158,2015-10-26,1.102
159,2015-10-27,1.11
160,2015-10-28,1.085
161,2015-10-29,1.081
162,2015-10-30,1.081
163,2015-11-02,1.067
164,2015-11-03,1.067
165,2015-11-04,1.122
166,2015-11-05,1.124
167,2015-11-06,1.156
168,2015-11-09,1.177
169,2015-11-10,1.195
170,2015-11-11,1.216
171,2015-11-12,1.227
172,2015-11-13,1.18
173,2015-11-16,1.203
174,2015-11-17,1.178
175,2015-11-18,1.156
176,2015-11-19,1.188
177,2015-11-20,1.198
178,2015-11-23,1.187
179,2015-11-24,1.205
180,2015-11-25,1.229
181,2015-11-26,1.222
182,2015-11-27,1.159
183,2015-11-30,1.174
184,2015-12-01,1.164
185,2015-12-02,1.142
186,2015-12-03,1.169
187,2015-12-04,1.167
188,2015-12-07,1.182
189,2015-12-08,1.175
190,2015-12-09,1.168
191,2015-12-10,1.167
192,2015-12-11,1.158
193,2015-12-14,1.164
194,2015-12-15,1.172
195,2015-12-16,1.185
196,2015-12-17,1.215
197,2015-12-18,1.216
198,2015-12-21,1.235
199,2015-12-22,1.241
200,2015-12-23,1.22
201,2015-12-24,1.223
202,2015-12-25,1.238
203,2015-12-28,1.231
204,2015-12-29,1.245
205,2015-12-30,1.267
206,2015-12-31,1.246
207,2016-01-04,1.14
208,2016-01-05,1.11
209,2016-01-06,1.13
210,2016-01-07,1.04
211,2016-01-08,1.04
212,2016-01-11,0.968
213,2016-01-12,0.975
214,2016-01-13,0.942
