,净值日期,累计净值
215,2016-01-14,0.98
216,2016-01-15,0.959
217,2016-01-18,0.977
218,2016-01-19,1.019
219,2016-01-20,1.014
220,2016-01-21,0.976
221,2016-01-22,0.982
222,2016-01-25,0.992
223,2016-01-26,0.925
224,2016-01-27,0.913
225,2016-01-28,0.87
226,2016-01-29,0.903
227,2016-02-01,0.898
228,2016-02-02,0.925
229,2016-02-03,0.926
230,2016-02-04,0.94
231,2016-02-05,0.926
232,2016-02-15,0.936
233,2016-02-16,0.97
234,2016-02-17,0.984
235,2016-02-18,0.982
236,2016-02-19,0.982
237,2016-02-22,0.995
238,2016-02-23,0.973
239,2016-02-24,0.965
240,2016-02-25,0.893
241,2016-02-26,0.883
242,2016-02-29,0.825
243,2016-03-01,0.846
244,2016-03-02,0.888
245,2016-03-03,0.881
246,2016-03-04,0.846
247,2016-03-07,0.86
248,2016-03-08,0.862
249,2016-03-09,0.849
250,2016-03-10,0.834
251,2016-03-11,0.83
252,2016-03-14,0.859
253,2016-03-15,0.852
254,2016-03-16,0.842
255,2016-03-17,0.871
256,2016-03-18,0.906
257,2016-03-21,0.921
258,2016-03-22,0.917
259,2016-03-23,0.93
260,2016-03-24,0.92
261,2016-03-25,0.923
262,2016-03-28,0.918
263,2016-03-29,0.908
264,2016-03-30,0.94
265,2016-03-31,0.94
266,2016-04-01,0.934
267,2016-04-05,0.957
268,2016-04-06,0.965
269,2016-04-07,0.999
270,2016-04-08,0.993
271,2016-04-11,1.021
272,2016-04-12,1.019
273,2016-04-13,1.037
274,2016-04-14,1.04
275,2016-04-15,1.035
276,2016-04-18,1.025
277,2016-04-19,1.029
278,2016-04-20,0.986
279,2016-04-21,0.972
280,2016-04-22,0.982
281,2016-04-25,0.986
282,2016-04-26,1.003
283,2016-04-27,1.004
284,2016-04-28,1.003
285,2016-04-29,1.009
286,2016-05-03,1.036
287,2016-05-04,1.031
288,2016-05-05,1.033
289,2016-05-06,1.002
290,2016-05-09,0.971
291,2016-05-10,0.97
292,2016-05-11,0.961
293,2016-05-12,0.967
294,2016-05-13,0.973
295,2016-05-16,0.995
296,2016-05-17,0.986
297,2016-05-18,0.961
298,2016-05-19,0.963
299,2016-05-20,0.966
300,2016-05-23,0.989
301,2016-05-24,0.98
302,2016-05-25,0.97
303,2016-05-26,0.972
304,2016-05-27,0.969
305,2016-05-30,0.967
306,2016-05-31,1.001
307,2016-06-01,1.008
308,2016-06-02,1.015
309,2016-06-03,1.021
310,2016-06-06,1.041
311,2016-06-07,1.049
312,2016-06-08,1.043
313,2016-06-13,1.006
314,2016-06-14,1.014
315,2016-06-15,1.049
316,2016-06-16,1.055
317,2016-06-17,1.051
318,2016-06-20,1.065
319,2016-06-21,1.05
320,2016-06-22,1.066
321,2016-06-23,1.06
322,2016-06-24,1.051
323,2016-06-27,1.072
324,2016-06-28,1.078
325,2016-06-29,1.078
326,2016-06-30,1.073
327,2016-07-01,1.07
328,2016-07-04,1.084
329,2016-07-05,1.085
330,2016-07-06,1.096
331,2016-07-07,1.111
332,2016-07-08,1.1
333,2016-07-11,1.089
334,2016-07-12,1.092
335,2016-07-13,1.097
336,2016-07-14,1.097
337,2016-07-15,1.097
338,2016-07-18,1.087
339,2016-07-19,1.09
340,2016-07-20,1.097
341,2016-07-21,1.092
342,2016-07-22,1.071
343,2016-07-25,1.07
344,2016-07-26,1.072
345,2016-07-27,1.023
346,2016-07-28,1.028
347,2016-07-29,1.03
348,2016-08-01,1.023
349,2016-08-02,1.031
350,2016-08-03,1.033
351,2016-08-04,1.054
352,2016-08-05,1.05
353,2016-08-08,1.055
354,2016-08-09,1.063
355,2016-08-10,1.059
356,2016-08-11,1.04
357,2016-08-12,1.047
358,2016-08-15,1.072
359,2016-08-16,1.086
360,2016-08-17,1.087
361,2016-08-18,1.086
362,2016-08-19,1.092
363,2016-08-22,1.081
364,2016-08-23,1.08
365,2016-08-24,1.079
366,2016-08-25,1.08
367,2016-08-26,1.077
368,2016-08-29,1.081
369,2016-08-30,1.079
370,2016-08-31,1.086
371,2016-09-01,1.074
372,2016-09-02,1.061
373,2016-09-05,1.059
374,2016-09-06,1.085
375,2016-09-07,1.08
376,2016-09-08,1.083
377,2016-09-09,1.079
378,2016-09-12,1.046
379,2016-09-13,1.041
380,2016-09-14,1.033
381,2016-09-19,1.043
382,2016-09-20,1.042
383,2016-09-21,1.033
384,2016-09-22,1.035
385,2016-09-23,1.027
386,2016-09-26,1.005
387,2016-09-27,1.016
388,2016-09-28,1.012
389,2016-09-29,1.02
390,2016-09-30,1.022
391,2016-10-10,1.047
392,2016-10-11,1.053
393,2016-10-12,1.054
394,2016-10-13,1.052
395,2016-10-14,1.052
396,2016-10-17,1.046
397,2016-10-18,1.065
398,2016-10-19,1.061
399,2016-10-20,1.061
400,2016-10-21,1.054
401,2016-10-24,1.057
402,2016-10-25,1.057
403,2016-10-26,1.06
404,2016-10-27,1.059
405,2016-10-28,1.05
406,2016-10-31,1.057
407,2016-11-01,1.068
408,2016-11-02,1.064
409,2016-11-03,1.065
410,2016-11-04,1.061
411,2016-11-07,1.061
412,2016-11-08,1.062
413,2016-11-09,1.056
414,2016-11-10,1.066
415,2016-11-11,1.068
416,2016-11-14,1.065
417,2016-11-15,1.077
418,2016-11-16,1.075
419,2016-11-17,1.077
420,2016-11-18,1.072
421,2016-11-21,1.072
422,2016-11-22,1.081
423,2016-11-23,1.076
424,2016-11-24,1.071
425,2016-11-25,1.073
426,2016-11-28,1.078
427,2016-11-29,1.071
428,2016-11-30,1.072
429,2016-12-01,1.072
430,2016-12-02,1.066
431,2016-12-05,1.066
432,2016-12-06,1.065
433,2016-12-07,1.07
434,2016-12-08,1.066
435,2016-12-09,1.06
436,2016-12-12,1.018
437,2016-12-13,1.024
438,2016-12-14,1.019
439,2016-12-15,1.012
440,2016-12-16,1.022
441,2016-12-19,1.029
442,2016-12-20,1.025
443,2016-12-21,1.027
444,2016-12-22,1.025
445,2016-12-23,1.016
446,2016-12-26,1.016
447,2016-12-27,1.017
448,2016-12-28,1.01
449,2016-12-29,1.003
450,2016-12-30,1.005
451,2016-12-31,1.005
452,2017-01-03,1.015
453,2017-01-04,1.023
454,2017-01-05,1.019
455,2017-01-06,1.011
456,2017-01-09,1.017
457,2017-01-10,1.011
458,2017-01-11,1.002
459,2017-01-12,0.994
460,2017-01-13,0.984
461,2017-01-16,0.959
462,2017-01-17,0.963
463,2017-01-18,0.957
464,2017-01-19,0.952
465,2017-01-20,0.967
466,2017-01-23,0.971
467,2017-01-24,0.965
468,2017-01-25,0.973
469,2017-01-26,0.98
470,2017-02-03,0.976
471,2017-02-06,0.987
472,2017-02-07,0.985
473,2017-02-08,0.989
474,2017-02-09,0.996
475,2017-02-10,0.991
476,2017-02-13,0.999
477,2017-02-14,0.996
478,2017-02-15,0.986
479,2017-02-16,0.99
480,2017-02-17,0.984
481,2017-02-20,0.992
482,2017-02-21,1.001
483,2017-02-22,1.005
484,2017-02-23,1.017
485,2017-02-24,1.017
486,2017-02-27,1.009
487,2017-02-28,1.004
488,2017-03-01,1.006
489,2017-03-02,1.002
490,2017-03-03,1.007
491,2017-03-06,1.014
492,2017-03-07,1.022
493,2017-03-08,1.018
494,2017-03-09,1.013
495,2017-03-10,1.017
496,2017-03-13,1.026
497,2017-03-14,1.024
498,2017-03-15,1.027
499,2017-03-16,1.037
500,2017-03-17,1.03
501,2017-03-20,1.039
502,2017-03-21,1.048
503,2017-03-22,1.059
504,2017-03-23,1.054
505,2017-03-24,1.056
506,2017-03-27,1.053
507,2017-03-28,1.054
508,2017-03-29,1.043
509,2017-03-30,1.03
510,2017-03-31,1.048
511,2017-04-05,1.062
512,2017-04-06,1.064
513,2017-04-07,1.066
514,2017-04-10,1.059
515,2017-04-11,1.054
516,2017-04-12,1.048
517,2017-04-13,1.051
518,2017-04-14,1.04
519,2017-04-17,1.036
520,2017-04-18,1.046
521,2017-04-19,1.046
522,2017-04-20,1.058
523,2017-04-21,1.05
524,2017-04-24,1.036
525,2017-04-25,1.043
526,2017-04-26,1.044
527,2017-04-27,1.05
528,2017-04-28,1.051
529,2017-05-02,1.048
530,2017-05-03,1.04
531,2017-05-04,1.039
532,2017-05-05,1.029
533,2017-05-08,1.015
534,2017-05-09,1.026
535,2017-05-10,1.016
536,2017-05-11,1.023
537,2017-05-12,1.021
538,2017-05-15,1.029
539,2017-05-16,1.052
540,2017-05-17,1.05
541,2017-05-18,1.042
542,2017-05-19,1.038
543,2017-05-22,1.027
544,2017-05-23,1.013
545,2017-05-24,1.011
546,2017-05-25,1.014
547,2017-05-26,1.011
548,2017-05-31,1.005
549,2017-06-01,0.996
550,2017-06-02,0.997
551,2017-06-05,1.004
552,2017-06-06,1.013
553,2017-06-07,1.034
554,2017-06-08,1.036
555,2017-06-09,1.038
556,2017-06-12,1.032
557,2017-06-13,1.043
558,2017-06-14,1.036
559,2017-06-15,1.043
560,2017-06-16,1.042
561,2017-06-19,1.05
562,2017-06-20,1.05
563,2017-06-21,1.058
564,2017-06-22,1.043
565,2017-06-23,1.05
566,2017-06-26,1.064
567,2017-06-27,1.066
568,2017-06-28,1.055
569,2017-06-29,1.059
570,2017-06-30,1.064
571,2017-07-03,1.064
572,2017-07-04,1.052
573,2017-07-05,1.061
574,2017-07-06,1.059
575,2017-07-07,1.054
576,2017-07-10,1.046
577,2017-07-11,1.039
578,2017-07-12,1.041
579,2017-07-13,1.043
580,2017-07-14,1.039
581,2017-07-17,1.002
582,2017-07-18,1.006
583,2017-07-19,1.018
584,2017-07-20,1.028
585,2017-07-21,1.028
586,2017-07-24,1.026
587,2017-07-25,1.028
588,2017-07-26,1.014
589,2017-07-27,1.024
590,2017-07-28,1.029
591,2017-07-31,1.042
592,2017-08-01,1.038
593,2017-08-02,1.033
594,2017-08-03,1.024
595,2017-08-04,1.014
596,2017-08-07,1.025
597,2017-08-08,1.025
598,2017-08-09,1.039
599,2017-08-10,1.04
600,2017-08-11,1.032
601,2017-08-14,1.052
602,2017-08-15,1.06
603,2017-08-16,1.06
604,2017-08-17,1.06
605,2017-08-18,1.058
606,2017-08-21,1.066
607,2017-08-22,1.066
608,2017-08-23,1.06
609,2017-08-24,1.052
610,2017-08-25,1.061
611,2017-08-28,1.069
612,2017-08-29,1.059
613,2017-08-30,1.062
614,2017-08-31,1.061
615,2017-09-01,1.062
616,2017-09-04,1.068
617,2017-09-05,1.074
618,2017-09-06,1.074
619,2017-09-07,1.068
620,2017-09-08,1.076
621,2017-09-11,1.08
622,2017-09-12,1.072
623,2017-09-13,1.077
624,2017-09-14,1.08
625,2017-09-15,1.077
626,2017-09-18,1.084
627,2017-09-19,1.076
628,2017-09-20,1.077
629,2017-09-21,1.074
630,2017-09-22,1.072
631,2017-09-25,1.069
632,2017-09-26,1.065
633,2017-09-27,1.07
634,2017-09-28,1.074
635,2017-09-29,1.078
636,2017-10-09,1.089
637,2017-10-10,1.109
638,2017-10-11,1.121
639,2017-10-12,1.122
640,2017-10-13,1.126
641,2017-10-16,1.122
642,2017-10-17,1.123
643,2017-10-18,1.137
644,2017-10-19,1.139
645,2017-10-20,1.135
646,2017-10-23,1.15
647,2017-10-24,1.149
648,2017-10-25,1.162
649,2017-10-26,1.159
650,2017-10-27,1.155
651,2017-10-30,1.143
652,2017-10-31,1.143
653,2017-11-01,1.139
654,2017-11-02,1.135
655,2017-11-03,1.126
656,2017-11-06,1.158
657,2017-11-07,1.16
658,2017-11-08,1.151
659,2017-11-09,1.156
660,2017-11-10,1.168
661,2017-11-13,1.168
662,2017-11-14,1.142
663,2017-11-15,1.137
664,2017-11-16,1.153
665,2017-11-17,1.123
666,2017-11-20,1.135
667,2017-11-21,1.135
668,2017-11-22,1.124
669,2017-11-23,1.087
670,2017-11-24,1.088
671,2017-11-27,1.071
672,2017-11-28,1.085
673,2017-11-29,1.078
674,2017-11-30,1.075
675,2017-12-01,1.081
676,2017-12-04,1.077
677,2017-12-05,1.063
678,2017-12-06,1.068
679,2017-12-07,1.064
680,2017-12-08,1.078
681,2017-12-11,1.094
682,2017-12-12,1.086
683,2017-12-13,1.094
684,2017-12-14,1.09
685,2017-12-15,1.084
686,2017-12-18,1.077
687,2017-12-19,1.088
688,2017-12-20,1.086
689,2017-12-21,1.097
690,2017-12-22,1.099
691,2017-12-25,1.093
692,2017-12-26,1.096
693,2017-12-27,1.076
694,2017-12-28,1.076
695,2017-12-29,1.087
696,2017-12-31,1.087
697,2018-01-02,1.092
698,2018-01-03,1.104
699,2018-01-04,1.106
700,2018-01-05,1.103
701,2018-01-08,1.106
702,2018-01-09,1.12
703,2018-01-10,1.11
704,2018-01-11,1.115
705,2018-01-12,1.122
706,2018-01-15,1.105
707,2018-01-16,1.11
708,2018-01-17,1.098
709,2018-01-18,1.1
710,2018-01-19,1.096
711,2018-01-22,1.123
712,2018-01-23,1.118
713,2018-01-24,1.126
714,2018-01-25,1.11
715,2018-01-26,1.11
716,2018-01-29,1.084
717,2018-01-30,1.09
718,2018-01-31,1.092
719,2018-02-01,1.065
720,2018-02-02,1.067
721,2018-02-05,1.047
722,2018-02-06,1.018
723,2018-02-07,1.008
724,2018-02-08,1.022
725,2018-02-09,0.991
726,2018-02-12,1.026
727,2018-02-13,1.034
728,2018-02-14,1.04
729,2018-02-22,1.063
730,2018-02-23,1.065
731,2018-02-26,1.077
732,2018-02-27,1.073
733,2018-02-28,1.066
734,2018-03-01,1.078
735,2018-03-02,1.072
736,2018-03-05,1.087
737,2018-03-06,1.106
738,2018-03-07,1.101
739,2018-03-08,1.127
740,2018-03-09,1.134
741,2018-03-12,1.147
742,2018-03-13,1.133
743,2018-03-14,1.125
744,2018-03-15,1.133
745,2018-03-16,1.129
746,2018-03-19,1.155
747,2018-03-20,1.172
748,2018-03-21,1.159
749,2018-03-22,1.149
750,2018-03-23,1.125
751,2018-03-26,1.159
752,2018-03-27,1.18
753,2018-03-28,1.158
754,2018-03-29,1.146
755,2018-03-30,1.183
756,2018-04-02,1.181
757,2018-04-03,1.176
758,2018-04-04,1.168
759,2018-04-09,1.18
760,2018-04-10,1.203
761,2018-04-11,1.206
762,2018-04-12,1.227
763,2018-04-13,1.207
764,2018-04-16,1.224
765,2018-04-17,1.19
766,2018-04-18,1.207
767,2018-04-19,1.22
768,2018-04-20,1.208
769,2018-04-23,1.192
770,2018-04-24,1.225
771,2018-04-25,1.271
772,2018-04-26,1.255
773,2018-04-27,1.273
774,2018-05-02,1.289
775,2018-05-03,1.278
776,2018-05-04,1.306
777,2018-05-07,1.332
778,2018-05-08,1.316
779,2018-05-09,1.319
780,2018-05-10,1.338
781,2018-05-11,1.301
782,2018-05-14,1.3
783,2018-05-15,1.321
784,2018-05-16,1.335
785,2018-05-17,1.312
786,2018-05-18,1.316
787,2018-05-21,1.315
788,2018-05-22,1.354
789,2018-05-23,1.352
790,2018-05-24,1.354
791,2018-05-25,1.365
792,2018-05-28,1.374
793,2018-05-29,1.33
794,2018-05-30,1.309
795,2018-05-31,1.351
796,2018-06-01,1.304
797,2018-06-04,1.293
798,2018-06-05,1.332
799,2018-06-06,1.348
800,2018-06-07,1.33
801,2018-06-08,1.33
802,2018-06-11,1.285
803,2018-06-12,1.313
804,2018-06-13,1.286
805,2018-06-14,1.275
806,2018-06-15,1.261
807,2018-06-19,1.211
808,2018-06-20,1.248
809,2018-06-21,1.247
810,2018-06-22,1.261
811,2018-06-25,1.266
812,2018-06-26,1.276
813,2018-06-27,1.241
814,2018-06-28,1.211
815,2018-06-29,1.268
816,2018-06-30,1.268
817,2018-07-02,1.273
818,2018-07-03,1.269
819,2018-07-04,1.244
820,2018-07-05,1.204
821,2018-07-06,1.205
822,2018-07-09,1.267
823,2018-07-10,1.276
824,2018-07-11,1.277
825,2018-07-12,1.309
826,2018-07-13,1.334
827,2018-07-16,1.331
828,2018-07-17,1.319
829,2018-07-18,1.308
830,2018-07-19,1.282
831,2018-07-20,1.281
832,2018-07-23,1.216
833,2018-07-24,1.222
834,2018-07-25,1.248
835,2018-07-26,1.232
836,2018-07-27,1.216
837,2018-07-30,1.177
838,2018-07-31,1.178
839,2018-08-01,1.159
840,2018-08-02,1.167
841,2018-08-03,1.123
842,2018-08-06,1.087
843,2018-08-07,1.116
844,2018-08-08,1.093
845,2018-08-09,1.133
846,2018-08-10,1.158
847,2018-08-13,1.173
848,2018-08-14,1.169
849,2018-08-15,1.14
850,2018-08-16,1.137
851,2018-08-17,1.094
852,2018-08-20,1.087
853,2018-08-21,1.138
854,2018-08-22,1.133
855,2018-08-23,1.153
856,2018-08-24,1.157
857,2018-08-27,1.196
858,2018-08-28,1.188
859,2018-08-29,1.183
860,2018-08-30,1.166
861,2018-08-31,1.141
862,2018-09-03,1.14
863,2018-09-04,1.142
864,2018-09-05,1.123
865,2018-09-06,1.115
866,2018-09-07,1.136
867,2018-09-10,1.118
868,2018-09-11,1.126
869,2018-09-12,1.092
870,2018-09-13,1.079
871,2018-09-14,1.062
872,2018-09-17,1.045
873,2018-09-18,1.077
874,2018-09-19,1.092
875,2018-09-20,1.083
876,2018-09-21,1.109
877,2018-09-25,1.106
878,2018-09-26,1.125
879,2018-09-27,1.132
880,2018-09-28,1.143
881,2018-10-08,1.087
882,2018-10-09,1.069
883,2018-10-10,1.055
884,2018-10-11,1.003
885,2018-10-12,1.006
886,2018-10-15,1.004
887,2018-10-16,0.978
888,2018-10-17,0.978
889,2018-10-18,0.941
890,2018-10-19,0.983
891,2018-10-22,1.039
892,2018-10-23,1.025
893,2018-10-24,1.006
894,2018-10-25,0.999
895,2018-10-26,0.974
896,2018-10-29,0.956
897,2018-10-30,0.969
898,2018-10-31,0.999
899,2018-11-01,1.007
900,2018-11-02,1.053
901,2018-11-05,1.042
902,2018-11-06,1.05
903,2018-11-07,1.048
904,2018-11-08,1.046
905,2018-11-09,1.033
906,2018-11-12,1.059
907,2018-11-13,1.077
908,2018-11-14,1.07
909,2018-11-15,1.078
910,2018-11-16,1.07
911,2018-11-19,1.059
912,2018-11-20,1.038
913,2018-11-21,1.06
914,2018-11-22,1.059
915,2018-11-23,1.04
916,2018-11-26,1.037
917,2018-11-27,1.032
918,2018-11-28,1.044
919,2018-11-29,1.033
920,2018-11-30,1.042
921,2018-12-03,1.075
922,2018-12-04,1.092
923,2018-12-05,1.105
924,2018-12-06,1.068
925,2018-12-07,1.034
926,2018-12-10,1.03
927,2018-12-11,1.039
928,2018-12-12,1.033
929,2018-12-13,1.047
930,2018-12-14,1.011
931,2018-12-17,0.986
932,2018-12-18,0.984
933,2018-12-19,0.955
934,2018-12-20,0.948
935,2018-12-21,0.93
936,2018-12-24,0.953
937,2018-12-25,0.961
938,2018-12-26,0.956
939,2018-12-27,0.947
940,2018-12-28,0.951
941,2018-12-31,0.951
942,2019-01-02,0.914
943,2019-01-03,0.907
944,2019-01-04,0.932
945,2019-01-07,0.93
946,2019-01-08,0.924
947,2019-01-09,0.933
948,2019-01-10,0.927
949,2019-01-11,0.928
950,2019-01-14,0.911
951,2019-01-15,0.932
952,2019-01-16,0.948
953,2019-01-17,0.943
954,2019-01-18,0.962
955,2019-01-21,0.972
956,2019-01-22,0.957
957,2019-01-23,0.955
958,2019-01-24,0.955
959,2019-01-25,0.96
960,2019-01-28,0.952
961,2019-01-29,0.95
962,2019-01-30,0.939
963,2019-01-31,0.944
964,2019-02-01,0.977
965,2019-02-11,0.996
966,2019-02-12,1.01
967,2019-02-13,1.023
968,2019-02-14,1.032
969,2019-02-15,1.021
970,2019-02-18,1.063
971,2019-02-19,1.05
972,2019-02-20,1.041
973,2019-02-21,1.04
974,2019-02-22,1.056
975,2019-02-25,1.098
976,2019-02-26,1.113
977,2019-02-27,1.098
978,2019-02-28,1.129
979,2019-03-01,1.135
980,2019-03-04,1.164
981,2019-03-05,1.175
982,2019-03-06,1.172
983,2019-03-07,1.157
984,2019-03-08,1.159
985,2019-03-11,1.221
986,2019-03-12,1.226
987,2019-03-13,1.216
988,2019-03-14,1.212
989,2019-03-15,1.241
990,2019-03-18,1.282
991,2019-03-19,1.266
992,2019-03-20,1.253
993,2019-03-21,1.252
994,2019-03-22,1.258
995,2019-03-25,1.242
996,2019-03-26,1.224
997,2019-03-27,1.255
998,2019-03-28,1.236
999,2019-03-29,1.285
1000,2019-04-01,1.309
1001,2019-04-02,1.284
1002,2019-04-03,1.283
1003,2019-04-04,1.273
1004,2019-04-08,1.257
1005,2019-04-09,1.271
1006,2019-04-10,1.29
1007,2019-04-11,1.257
1008,2019-04-12,1.247
1009,2019-04-15,1.234
1010,2019-04-16,1.257
1011,2019-04-17,1.257
1012,2019-04-18,1.255
1013,2019-04-19,1.265
1014,2019-04-22,1.256
1015,2019-04-23,1.258
1016,2019-04-24,1.27
1017,2019-04-25,1.266
1018,2019-04-26,1.275
1019,2019-04-29,1.287
1020,2019-04-30,1.286
1021,2019-05-06,1.236
1022,2019-05-07,1.247
1023,2019-05-08,1.23
1024,2019-05-09,1.205
1025,2019-05-10,1.252
1026,2019-05-13,1.251
1027,2019-05-14,1.25
1028,2019-05-15,1.281
1029,2019-05-16,1.292
1030,2019-05-17,1.274
1031,2019-05-20,1.25
1032,2019-05-21,1.271
1033,2019-05-22,1.271
1034,2019-05-23,1.243
1035,2019-05-24,1.238
1036,2019-05-27,1.251
1037,2019-05-28,1.262
1038,2019-05-29,1.259
1039,2019-05-30,1.262
1040,2019-05-31,1.269
1041,2019-06-03,1.25
1042,2019-06-04,1.229
1043,2019-06-05,1.201
1044,2019-06-06,1.19
1045,2019-06-10,1.206
1046,2019-06-11,1.243
1047,2019-06-12,1.238
1048,2019-06-13,1.253
1049,2019-06-14,1.248
1050,2019-06-17,1.232
1051,2019-06-18,1.24
1052,2019-06-19,1.248
1053,2019-06-20,1.281
1054,2019-06-21,1.288
1055,2019-06-24,1.289
1056,2019-06-25,1.28
1057,2019-06-26,1.326
1058,2019-06-27,1.344
1059,2019-06-28,1.337
1060,2019-06-30,1.337
1061,2019-07-01,1.37
1062,2019-07-02,1.394
1063,2019-07-03,1.369
1064,2019-07-04,1.339
1065,2019-07-05,1.361
1066,2019-07-08,1.324
1067,2019-07-09,1.33
1068,2019-07-10,1.329
