,date,value
0,2002-01-03,99.9731
1,2002-01-06,100.0149
2,2002-01-07,99.8273
3,2002-01-08,100.0203
4,2002-01-09,99.9317
5,2002-01-10,100.2721
6,2002-01-13,100.254
7,2002-01-14,100.2575
8,2002-01-15,100.3506
9,2002-01-16,100.2986
10,2002-01-17,100.193
11,2002-01-20,100.4665
12,2002-01-21,100.4194
13,2002-01-22,100.5104
14,2002-01-23,100.5444
15,2002-01-24,100.511
16,2002-01-27,100.8871
17,2002-01-28,100.8255
18,2002-01-29,100.6743
19,2002-01-30,100.8346
20,2002-01-31,100.7591
21,2002-02-03,101.0281
22,2002-02-04,101.0025
23,2002-02-05,101.0266
24,2002-02-06,101.057
25,2002-02-07,101.0462
26,2002-02-08,101.077
27,2002-02-09,101.262
28,2002-02-10,101.2122
29,2002-02-18,101.1044
30,2002-02-19,101.431
31,2002-02-20,101.5479
32,2002-02-21,101.2205
33,2002-02-24,101.3459
34,2002-02-25,101.3766
35,2002-02-26,101.4663
36,2002-02-27,101.5939
37,2002-02-28,101.5924
38,2002-03-03,101.6803
39,2002-03-04,101.7592
40,2002-03-05,101.7855
41,2002-03-06,101.8761
42,2002-03-07,101.804
43,2002-03-10,101.9464
44,2002-03-11,102.141
45,2002-03-12,102.1639
46,2002-03-13,102.1606
47,2002-03-14,102.2204
48,2002-03-17,102.2694
49,2002-03-18,102.3295
50,2002-03-19,102.1552
51,2002-03-20,102.5672
52,2002-03-21,102.6537
53,2002-03-24,102.5361
54,2002-03-25,102.7192
55,2002-03-26,102.6818
56,2002-03-27,102.5922
57,2002-03-28,102.7205
58,2002-03-31,102.8342
59,2002-04-01,102.8501
60,2002-04-02,103.0595
61,2002-04-03,103.1505
62,2002-04-04,103.0816
63,2002-04-07,103.5017
64,2002-04-08,103.2864
65,2002-04-09,103.4944
66,2002-04-10,103.5399
67,2002-04-11,103.6122
68,2002-04-14,103.5622
69,2002-04-15,103.6297
70,2002-04-16,103.7819
71,2002-04-17,103.9761
72,2002-04-18,104.0668
73,2002-04-21,104.0613
74,2002-04-22,103.9202
75,2002-04-23,104.2197
76,2002-04-24,104.1674
77,2002-04-25,104.1824
78,2002-04-26,104.0868
79,2002-04-27,104.1379
80,2002-04-28,104.337
81,2002-04-29,104.2087
82,2002-05-07,104.4712
83,2002-05-08,104.382
84,2002-05-09,104.219
85,2002-05-12,104.4653
86,2002-05-13,104.4872
87,2002-05-14,104.5315
88,2002-05-15,104.5337
89,2002-05-16,104.4422
90,2002-05-19,104.7532
91,2002-05-20,104.6799
92,2002-05-21,104.8123
93,2002-05-22,104.8703
94,2002-05-23,104.9116
95,2002-05-26,105.0911
96,2002-05-27,105.1627
97,2002-05-28,105.2403
98,2002-05-29,105.3871
99,2002-05-30,105.4185
100,2002-06-02,105.4349
101,2002-06-03,105.1802
102,2002-06-04,105.2876
103,2002-06-05,105.3017
104,2002-06-06,104.9827
105,2002-06-09,105.2752
106,2002-06-10,105.0998
107,2002-06-11,105.1514
108,2002-06-12,105.2552
109,2002-06-13,105.3227
110,2002-06-16,105.3191
111,2002-06-17,105.185
112,2002-06-18,105.0452
113,2002-06-19,105.0361
114,2002-06-20,105.0844
115,2002-06-23,104.9102
116,2002-06-24,104.7492
117,2002-06-25,104.7045
118,2002-06-26,104.81
119,2002-06-27,104.7085
120,2002-06-30,104.8993
121,2002-07-01,105.0131
122,2002-07-02,104.4951
123,2002-07-03,104.87
124,2002-07-04,104.8048
125,2002-07-07,104.9053
126,2002-07-08,104.7641
127,2002-07-09,104.653
128,2002-07-10,104.5747
129,2002-07-11,104.6104
